,date,COMNAM,TAQ_TICKER,MARKETCAP,pNYSE_size,pNYSE_value,pNYSE_prof,pNYSE_dur,pNYSE_valprof,pNYSE_fscore,pNYSE_debtiss,pNYSE_repurch,pNYSE_nissa,pNYSE_accruals,pNYSE_growth,pNYSE_aturnover,pNYSE_gmargins,pNYSE_divp,pNYSE_ep,pNYSE_cfp,pNYSE_noa,pNYSE_inv,pNYSE_invcap,pNYSE_igrowth,pNYSE_sgrowth,pNYSE_lev,pNYSE_roaa,pNYSE_roea,pNYSE_sp,pNYSE_gltnoa,pNYSE_divg,pNYSE_invaci,pNYSE_mom,pNYSE_indmom,pNYSE_valmom,pNYSE_valmomprof,pNYSE_shortint,pNYSE_mom12,pNYSE_momrev,pNYSE_lrrev,pNYSE_valuem,pNYSE_nissm,pNYSE_sue,pNYSE_roe,pNYSE_rome,pNYSE_roa,pNYSE_strev,pNYSE_ivol,pNYSE_betaarb,pNYSE_season,pNYSE_indrrev,pNYSE_indrrevlv,pNYSE_indmomrev,pNYSE_ciss,pNYSE_price,pNYSE_age,pNYSE_shvol,pNYSE_exchsw,pNYSE_ipo
10001,20100408,ENERGY INC,EGAS,45051.3105,10.0,6.0,2.0,,2.0,1,10.0,1.0,8.0,1.0,1.0,7.0,1.0,7.0,7.0,6.0,1.0,1.0,,,1.0,6.0,6.0,6.0,7.0,3.0,,,7.0,2.0,7.0,4.0,10.0,3.0,1.0,1.0,7.0,4.0,,10.0,10.0,10.0,8.0,8.0,10.0,1.0,6.0,6.0,4.0,5.0,2.0,5,10.0,1,1
10002,20100408,BANCTRUST FINANCIAL GROUP INC,BTFG,97190.89,10.0,,,,,10,1.0,1.0,5.0,,,,,5.0,3.0,1.0,,,,,,9.0,3.0,3.0,2.0,,7.0,,8.0,3.0,,,3.0,1.0,2.0,8.0,,7.0,,4.0,8.0,3.0,5.0,1.0,1.0,1.0,7.0,,,1.0,1.0,5,10.0,10,1
10025,20100408,A E P INDUSTRIES INC,AEPI,184333.5,9.0,2.0,5.0,2.0,2.0,1,1.0,10.0,4.0,2.0,2.0,9.0,2.0,,3.0,6.0,2.0,8.0,6.0,1.0,9.0,7.0,4.0,5.0,9.0,5.0,,,2.0,2.0,1.0,1.0,5.0,9.0,3.0,5.0,2.0,5.0,,3.0,2.0,,10.0,2.0,7.0,6.0,10.0,,,9.0,6.0,5,5.0,10,1
10026,20100408,J & J SNACK FOODS CORP,JJSF,811504.98,7.0,3.0,9.0,4.0,8.0,10,10.0,10.0,8.0,4.0,4.0,8.0,6.0,2.0,4.0,2.0,4.0,5.0,4.0,7.0,4.0,1.0,8.0,5.0,3.0,8.0,7.0,,3.0,6.0,2.0,5.0,7.0,3.0,1.0,1.0,4.0,7.0,,5.0,4.0,7.0,8.0,7.0,9.0,5.0,7.0,8.0,8.0,7.0,8.0,5,9.0,10,1
10028,20100408,D G S E COMPANIES INC,DGSE,22519.86,10.0,5.0,8.0,6.0,8.0,1,1.0,1.0,2.0,1.0,9.0,10.0,2.0,,1.0,,3.0,2.0,4.0,10.0,1.0,5.0,1.0,1.0,9.0,6.0,,,,7.0,,,10.0,7.0,9.0,8.0,6.0,8.0,,1.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,,,1.0,1.0,5,10.0,10,1
10032,20100408,PLEXUS CORP,PLXS,1491520.59,7.0,5.0,4.0,6.0,3.0,10,1.0,10.0,8.0,1.0,4.0,9.0,2.0,,9.0,7.0,7.0,2.0,3.0,5.0,3.0,4.0,8.0,8.0,7.0,3.0,,,9.0,3.0,8.0,7.0,4.0,9.0,6.0,2.0,3.0,5.0,4.0,7.0,6.0,8.0,7.0,3.0,4.0,10.0,8.0,,,8.0,7.0,5,5.0,10,1
10044,20100408,ROCKY MOUNTAIN CHOCOLATE FAC INC,RMCF,53736.21,10.0,2.0,10.0,3.0,8.0,10,10.0,10.0,6.0,4.0,9.0,9.0,7.0,8.0,9.0,7.0,6.0,4.0,9.0,1.0,8.0,1.0,10.0,10.0,4.0,2.0,7.0,,5.0,6.0,3.0,7.0,10.0,5.0,3.0,8.0,2.0,6.0,,9.0,6.0,10.0,5.0,5.0,10.0,1.0,4.0,,,5.0,2.0,5,10.0,10,1
10051,20100408,HANGER ORTHOPEDIC GROUP INC,HGR,600714.66,8.0,4.0,8.0,4.0,8.0,10,1.0,1.0,1.0,5.0,4.0,5.0,9.0,,5.0,3.0,2.0,6.0,2.0,7.0,4.0,5.0,5.0,6.0,5.0,8.0,,,9.0,5.0,8.0,9.0,7.0,4.0,2.0,1.0,6.0,3.0,,7.0,9.0,7.0,9.0,3.0,9.0,4.0,10.0,,,1.0,4.0,5,7.0,10,1
10092,20100408,4 KIDS ENTERTAINMENT INC,KDE,14553.68,10.0,10.0,4.0,,9.0,1,10.0,10.0,4.0,6.0,10.0,3.0,7.0,,,,,5.0,2.0,10.0,3.0,8.0,1.0,1.0,7.0,1.0,,,,1.0,,,10.0,2.0,10.0,10.0,10.0,5.0,,1.0,1.0,1.0,10.0,1.0,10.0,1.0,10.0,,,4.0,1.0,5,10.0,10,1
10100,20100408,AMERICAN LEARNING CORP NY,ALRN,-3637.575,10.0,10.0,,10.0,,1,10.0,1.0,7.0,6.0,8.0,,,,1.0,,10.0,8.0,1.0,10.0,10.0,6.0,2.0,2.0,1.0,5.0,,,,,,,10.0,1.0,6.0,8.0,10.0,8.0,,1.0,1.0,1.0,3.0,1.0,10.0,6.0,,,,6.0,1.0,5,10.0,10,1
10104,20100408,ORACLE CORP,ORCL,129643120.53,1.0,1.0,7.0,1.0,2.0,10,1.0,10.0,9.0,9.0,1.0,2.0,10.0,,5.0,2.0,,7.0,7.0,9.0,2.0,1.0,9.0,9.0,1.0,8.0,,10.0,6.0,5.0,3.0,4.0,10.0,4.0,3.0,1.0,2.0,5.0,3.0,8.0,4.0,8.0,7.0,10.0,8.0,4.0,6.0,6.0,6.0,4.0,6.0,5,7.0,10,1
10107,20100408,MICROSOFT CORP,MSFT,262159040.0,1.0,1.0,10.0,1.0,6.0,10,10.0,10.0,9.0,8.0,2.0,4.0,10.0,4.0,8.0,4.0,10.0,5.0,1.0,3.0,3.0,1.0,10.0,10.0,1.0,1.0,5.0,1.0,7.0,5.0,3.0,7.0,9.0,6.0,4.0,4.0,1.0,9.0,10.0,10.0,8.0,10.0,8.0,10.0,8.0,4.0,7.0,8.0,7.0,10.0,6.0,5,7.0,10,1
10116,20100408,ACURA PHARMACEUTICALS INC,ACUR,264123.16,9.0,1.0,8.0,1.0,3.0,10,10.0,1.0,5.0,1.0,8.0,6.0,8.0,,4.0,1.0,10.0,8.0,8.0,1.0,1.0,1.0,10.0,10.0,1.0,1.0,,,,3.0,,,,1.0,2.0,,1.0,3.0,,1.0,2.0,1.0,4.0,2.0,9.0,,3.0,,,,1.0,5,10.0,10,1
10137,20100408,ALLEGHENY ENERGY INC,AYE,3903501.4,3.0,5.0,2.0,,1.0,1,1.0,1.0,4.0,7.0,4.0,1.0,6.0,1.0,5.0,4.0,4.0,2.0,8.0,4.0,7.0,5.0,6.0,6.0,2.0,7.0,,,1.0,2.0,2.0,1.0,3.0,1.0,5.0,2.0,10.0,8.0,,6.0,9.0,6.0,8.0,5.0,8.0,8.0,6.0,,,5.0,5.0,1,2.0,10,1
10138,20100408,T ROWE PRICE GROUP INC,TROW,14442078.41,2.0,,,,,10,10.0,10.0,8.0,,,,,4.0,4.0,1.0,,,,,,1.0,10.0,9.0,1.0,1.0,9.0,,6.0,1.0,,,6.0,7.0,7.0,3.0,,4.0,9.0,9.0,5.0,10.0,4.0,9.0,2.0,9.0,5.0,4.0,2.0,6.0,9.0,5,7.0,10,1
10143,20100408,O S I PHARMACEUTICALS INC,OSIP,3581303.76,5.0,1.0,6.0,1.0,2.0,1,1.0,10.0,3.0,1.0,1.0,1.0,10.0,,10.0,8.0,2.0,9.0,8.0,5.0,4.0,1.0,10.0,10.0,1.0,1.0,,,6.0,3.0,2.0,3.0,1.0,1.0,3.0,4.0,1.0,3.0,,7.0,6.0,8.0,1.0,1.0,10.0,1.0,1.0,,,6.0,9.0,5,1.0,10,1
10145,20100408,HONEYWELL INTERNATIONAL INC,HON,34798758.24,1.0,2.0,5.0,2.0,2.0,10,1.0,10.0,6.0,8.0,5.0,6.0,5.0,6.0,8.0,6.0,,8.0,6.0,5.0,6.0,4.0,8.0,10.0,5.0,9.0,4.0,6.0,6.0,10.0,3.0,3.0,9.0,5.0,5.0,4.0,2.0,3.0,4.0,9.0,8.0,8.0,3.0,10.0,7.0,6.0,5.0,4.0,8.0,9.0,8.0,1,6.0,10,1
10147,20100408,E M C CORP MA,EMC,37711591.2,1.0,4.0,7.0,5.0,6.0,10,1.0,10.0,9.0,10.0,4.0,3.0,9.0,,5.0,4.0,8.0,7.0,3.0,7.0,4.0,3.0,7.0,6.0,2.0,8.0,,10.0,5.0,6.0,5.0,6.0,8.0,5.0,3.0,4.0,4.0,4.0,7.0,6.0,5.0,7.0,8.0,8.0,8.0,7.0,9.0,9.0,9.0,9.0,4.0,5,4.0,10,1
10163,20100408,X RITE INC,XRIT,277657.25,10.0,9.0,6.0,10.0,9.0,1,1.0,1.0,1.0,9.0,9.0,2.0,10.0,,,,5.0,9.0,9.0,10.0,6.0,8.0,1.0,1.0,7.0,8.0,,,,4.0,,,9.0,9.0,8.0,10.0,8.0,2.0,,3.0,3.0,3.0,8.0,1.0,10.0,1.0,6.0,,,1.0,1.0,5,10.0,10,1
10180,20100408,AKORN INC,AKRX,132900.48,10.0,2.0,7.0,2.0,2.0,10,10.0,1.0,4.0,1.0,8.0,6.0,6.0,,2.0,,3.0,6.0,9.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,3.0,,,4.0,7.0,9.0,8.0,2.0,3.0,,1.0,2.0,1.0,9.0,1.0,3.0,2.0,7.0,,,1.0,1.0,5,10.0,10,1
10182,20100408,TECH DATA CORP,TECD,2226182.4,5.0,10.0,4.0,10.0,9.0,10,10.0,10.0,10.0,6.0,3.0,10.0,1.0,,8.0,7.0,,6.0,7.0,9.0,5.0,9.0,4.0,4.0,10.0,8.0,,10.0,6.0,7.0,9.0,8.0,5.0,8.0,5.0,6.0,9.0,3.0,,7.0,9.0,6.0,9.0,6.0,9.0,7.0,9.0,10.0,10.0,8.0,8.0,5,3.0,10,1
10200,20100408,REPLIGEN CORP,RGEN,108282.24,9.0,4.0,3.0,1.0,2.0,10,10.0,1.0,8.0,6.0,1.0,1.0,10.0,,10.0,9.0,8.0,3.0,2.0,8.0,1.0,1.0,10.0,10.0,1.0,9.0,,,,3.0,,,6.0,1.0,2.0,1.0,5.0,8.0,,2.0,2.0,2.0,1.0,4.0,9.0,3.0,1.0,,,5.0,1.0,5,10.0,10,1
10205,20100408,L S B CORP,LSBX,56337.5,10.0,,,,,1,1.0,10.0,5.0,,,,,8.0,2.0,,,,,,,10.0,3.0,3.0,3.0,,3.0,,5.0,3.0,,,10.0,4.0,4.0,6.0,,5.0,2.0,6.0,9.0,3.0,6.0,3.0,10.0,2.0,7.0,,,7.0,3.0,5,10.0,10,1
10225,20100408,FORTUNE BRANDS INC,FO,7535217.98,2.0,6.0,5.0,7.0,5.0,1,1.0,10.0,9.0,6.0,9.0,3.0,8.0,6.0,3.0,2.0,5.0,8.0,8.0,9.0,10.0,5.0,4.0,4.0,4.0,5.0,6.0,,6.0,8.0,6.0,5.0,6.0,7.0,7.0,8.0,8.0,4.0,,3.0,3.0,3.0,4.0,9.0,7.0,9.0,4.0,4.0,7.0,9.0,9.0,1,7.0,10,1
10232,20100408,ELMIRA SAVINGS BANK FSB NY,ESBK,34727.56,10.0,,,,,1,10.0,1.0,7.0,,,,,7.0,8.0,,,,,,,10.0,4.0,6.0,4.0,,8.0,,2.0,3.0,,,10.0,5.0,2.0,6.0,,2.0,,7.0,9.0,3.0,3.0,3.0,10.0,1.0,5.0,,,3.0,4.0,5,10.0,10,1
10239,20100408,BALDWIN & LYONS INC,BWINB,306247.52,9.0,,,,,1,10.0,1.0,9.0,,,,,9.0,2.0,,,,,,,7.0,3.0,3.0,3.0,3.0,1.0,,6.0,7.0,,,7.0,4.0,2.0,4.0,,6.0,,7.0,9.0,7.0,9.0,5.0,7.0,1.0,9.0,,,9.0,6.0,5,10.0,10,1
10252,20100408,INDEPENDENT BANK CORP MA,INDB,515416.45,8.0,,,,,1,1.0,10.0,1.0,,,,,4.0,4.0,2.0,,,,,,9.0,4.0,5.0,2.0,,2.0,,5.0,3.0,,,2.0,6.0,5.0,6.0,,1.0,,6.0,8.0,3.0,9.0,8.0,4.0,5.0,9.0,10.0,7.0,5.0,5.0,5,9.0,10,1
10253,20100408,DOCUMENT SECURITY SYSTEMS INC,DMC,69974.4,10.0,1.0,8.0,1.0,3.0,1,1.0,1.0,3.0,1.0,10.0,4.0,9.0,,1.0,,9.0,5.0,5.0,10.0,4.0,1.0,,1.0,1.0,4.0,,,,8.0,,,8.0,9.0,8.0,9.0,1.0,1.0,,,1.0,1.0,10.0,1.0,10.0,8.0,10.0,,,4.0,1.0,5,9.0,10,1
10257,20100408,TEAMSTAFF INC,TSTF,-5222.574,10.0,10.0,6.0,10.0,10.0,10,10.0,1.0,4.0,10.0,1.0,10.0,2.0,,9.0,7.0,7.0,7.0,2.0,6.0,5.0,8.0,5.0,5.0,10.0,10.0,,,,4.0,,,10.0,1.0,5.0,9.0,10.0,3.0,,3.0,1.0,,8.0,1.0,10.0,2.0,8.0,,,3.0,1.0,5,10.0,10,1
10258,20100408,CELLDEX THERAPEUTICS INC,CLDX,213109.6,10.0,1.0,,,,1,1.0,1.0,4.0,,,1.0,1.0,,1.0,,,,9.0,,,1.0,1.0,1.0,1.0,,,,2.0,3.0,1.0,,2.0,1.0,5.0,8.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,,,1.0,1.0,5,3.0,10,1
10259,20100408,SIGMA DESIGNS INC,SIGM,358255.96,8.0,8.0,6.0,1.0,9.0,10,10.0,1.0,6.0,1.0,1.0,3.0,9.0,,10.0,9.0,1.0,1.0,1.0,1.0,1.0,4.0,10.0,9.0,3.0,10.0,,,1.0,3.0,4.0,4.0,1.0,1.0,2.0,2.0,8.0,2.0,,2.0,2.0,2.0,9.0,3.0,6.0,1.0,9.0,,,1.0,3.0,5,2.0,10,1
10272,20100408,TEKELEC,TKLC,1301059.86,6.0,4.0,7.0,4.0,6.0,10,10.0,10.0,3.0,6.0,8.0,3.0,10.0,,4.0,2.0,9.0,6.0,1.0,7.0,6.0,2.0,7.0,6.0,2.0,2.0,,,4.0,3.0,3.0,5.0,4.0,3.0,2.0,4.0,4.0,3.0,7.0,6.0,6.0,8.0,4.0,4.0,7.0,5.0,4.0,,,3.0,4.0,5,4.0,10,1
10290,20100408,HARLEYSVILLE GROUP INC,HGIC,918265.88,7.0,,,,,10,10.0,10.0,10.0,,,,,5.0,4.0,1.0,,,,,,7.0,4.0,5.0,4.0,9.0,8.0,,4.0,7.0,,,8.0,2.0,1.0,1.0,,10.0,,7.0,9.0,5.0,8.0,8.0,8.0,1.0,9.0,10.0,10.0,9.0,7.0,5,10.0,10,1
10297,20100408,NEW HAMPSHIRE THRIFT BNCSHRS INC,NHTB,61183.2,10.0,,,,,10,1.0,10.0,7.0,,,,,8.0,9.0,7.0,,,,,,10.0,4.0,5.0,4.0,,7.0,,4.0,3.0,,,10.0,5.0,2.0,7.0,,7.0,3.0,5.0,9.0,3.0,9.0,3.0,10.0,2.0,9.0,,,2.0,2.0,5,10.0,10,1
10299,20100408,LINEAR TECHNOLOGY CORP,LLTC,6384445.2,2.0,,9.0,,,10,10.0,10.0,6.0,3.0,1.0,4.0,10.0,6.0,6.0,3.0,10.0,5.0,8.0,10.0,5.0,1.0,10.0,,1.0,10.0,9.0,,4.0,3.0,,,3.0,3.0,3.0,6.0,,5.0,3.0,,5.0,10.0,7.0,8.0,8.0,5.0,8.0,8.0,6.0,10.0,6.0,5,2.0,10,1
10302,20100408,CYPRESS SEMICONDUCTOR CORP,CY,1873227.12,6.0,7.0,8.0,8.0,9.0,10,10.0,10.0,10.0,9.0,10.0,4.0,9.0,,1.0,,10.0,10.0,7.0,10.0,10.0,4.0,1.0,1.0,4.0,4.0,,,7.0,3.0,8.0,9.0,2.0,7.0,2.0,1.0,3.0,1.0,9.0,3.0,3.0,4.0,10.0,4.0,5.0,9.0,10.0,,,10.0,3.0,5,1.0,10,1
10304,20100408,AMCORE FINANCIAL INC,AMFI,11667.015,10.0,,,,,1,1.0,10.0,4.0,,,,,10.0,,,,,,,,10.0,3.0,2.0,9.0,,1.0,,,3.0,,,1.0,1.0,10.0,10.0,,4.0,4.0,1.0,1.0,2.0,10.0,1.0,1.0,1.0,10.0,,,7.0,1.0,5,3.0,10,1
10308,20100408,TOMPKINS FINANCIAL CORP,TMP,405625.68,8.0,,,,,10,1.0,10.0,5.0,,,,,4.0,4.0,1.0,,,,,,8.0,4.0,7.0,1.0,,5.0,,2.0,3.0,,,3.0,1.0,1.0,2.0,,6.0,8.0,7.0,8.0,3.0,8.0,7.0,7.0,1.0,9.0,10.0,7.0,6.0,7.0,5,10.0,10,1
10318,20100408,BALCHEM CORP,BCPC,702345.28,8.0,1.0,7.0,1.0,3.0,10,10.0,1.0,3.0,2.0,6.0,8.0,4.0,1.0,4.0,1.0,2.0,5.0,8.0,6.0,2.0,1.0,10.0,8.0,2.0,3.0,9.0,,9.0,3.0,5.0,6.0,6.0,3.0,2.0,1.0,2.0,3.0,,8.0,5.0,10.0,3.0,5.0,7.0,3.0,2.0,,,5.0,5.0,5,9.0,10,1
10324,20100408,GENZYME CORP,GENZ,13975929.53,1.0,2.0,7.0,3.0,5.0,1,10.0,10.0,5.0,4.0,5.0,3.0,10.0,,3.0,1.0,,4.0,4.0,2.0,2.0,1.0,6.0,4.0,1.0,3.0,,,4.0,3.0,2.0,3.0,8.0,1.0,2.0,3.0,5.0,9.0,,3.0,3.0,3.0,10.0,4.0,10.0,1.0,10.0,,,4.0,9.0,5,3.0,10,1
10353,20100408,ADAPTEC INC,ADPT,397310.1,9.0,7.0,2.0,7.0,3.0,1,10.0,1.0,6.0,9.0,7.0,1.0,7.0,,2.0,1.0,10.0,10.0,8.0,10.0,10.0,5.0,3.0,3.0,1.0,9.0,,,,6.0,,,6.0,3.0,4.0,7.0,9.0,9.0,,2.0,2.0,1.0,6.0,7.0,7.0,1.0,7.0,8.0,8.0,2.0,1.0,5,9.0,10,1
10355,20100408,DAILY JOURNAL CORP,DJCO,-97621.855,10.0,4.0,8.0,4.0,7.0,10,10.0,1.0,9.0,1.0,2.0,5.0,9.0,,9.0,7.0,10.0,8.0,10.0,7.0,3.0,2.0,10.0,9.0,3.0,6.0,,,7.0,10.0,6.0,8.0,10.0,7.0,1.0,4.0,6.0,9.0,,7.0,8.0,9.0,8.0,5.0,10.0,1.0,8.0,,,4.0,10.0,5,10.0,10,1
10363,20100408,A M A G PHARMACEUTICALS INC,AMAG,729926.61,6.0,2.0,,3.0,,1,10.0,1.0,6.0,8.0,10.0,1.0,1.0,,2.0,,10.0,6.0,1.0,1.0,10.0,1.0,1.0,2.0,1.0,5.0,,,2.0,3.0,1.0,,1.0,1.0,3.0,1.0,2.0,1.0,,1.0,1.0,1.0,10.0,1.0,7.0,1.0,10.0,,,1.0,7.0,5,1.0,10,1
10375,20100408,T C F FINANCIAL CORP,TCB,2425857.3,5.0,,,,,1,1.0,1.0,3.0,,,,,8.0,6.0,4.0,,,,,,9.0,4.0,6.0,3.0,,4.0,,4.0,3.0,,,10.0,3.0,2.0,7.0,,2.0,2.0,5.0,5.0,3.0,4.0,6.0,4.0,5.0,5.0,5.0,3.0,8.0,4.0,5,3.0,10,1
10382,20100408,ASTEC INDUSTRIES INC,ASTE,679838.08,7.0,4.0,7.0,4.0,7.0,1,10.0,10.0,5.0,1.0,3.0,9.0,4.0,,7.0,4.0,2.0,1.0,4.0,6.0,4.0,2.0,9.0,7.0,5.0,2.0,,,2.0,8.0,2.0,4.0,2.0,1.0,3.0,2.0,7.0,7.0,,1.0,1.0,1.0,2.0,5.0,4.0,6.0,1.0,,,4.0,6.0,5,6.0,10,1
10395,20100408,NAVIGATORS GROUP INC,NAVG,688947.72,7.0,,,,,1,10.0,10.0,4.0,,,,,,4.0,1.0,,,,,,8.0,4.0,5.0,3.0,,,,1.0,7.0,,,7.0,1.0,1.0,1.0,,10.0,,3.0,4.0,3.0,7.0,5.0,8.0,1.0,8.0,,,2.0,8.0,5,7.0,10,1
